,satisfaction_level,last_evaluation,number_project,average_montly_hours,time_spend_company,Work_accident,promotion_last_5years,salary,RandD,accounting,hr,management,marketing,product_mng,sales,support,technical,left
0,0.38,0.53,0.0,0.2850467289719626,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
1,0.8,0.86,0.6,0.7757009345794391,0.5,0,0,2,0,0,0,0,0,0,1,0,0,1
2,0.11,0.88,1.0,0.822429906542056,0.25,0,0,2,0,0,0,0,0,0,1,0,0,1
3,0.72,0.87,0.6,0.5934579439252335,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
4,0.37,0.52,0.0,0.29439252336448596,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
5,0.41,0.5,0.0,0.26635514018691586,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
6,0.1,0.77,0.8000000000000002,0.7056074766355139,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
7,0.92,0.85,0.6,0.7616822429906541,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
8,0.89,1.0,0.6,0.5981308411214953,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
9,0.42,0.53,0.0,0.2149532710280374,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
10,0.45,0.54,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
11,0.11,0.81,0.8000000000000002,0.9766355140186916,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
12,0.84,0.92,0.4,0.6448598130841122,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
13,0.41,0.55,0.0,0.2429906542056075,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
14,0.36,0.56,0.0,0.19158878504672894,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
15,0.38,0.54,0.0,0.21962616822429903,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
16,0.45,0.47,0.0,0.2990654205607477,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
17,0.78,0.99,0.4,0.7429906542056074,0.5,0,0,1,0,0,0,0,0,0,1,0,0,1
18,0.45,0.51,0.0,0.2990654205607477,0.125,1,1,1,0,0,0,0,0,0,1,0,0,1
19,0.76,0.89,0.6,0.7757009345794391,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
20,0.11,0.83,0.8000000000000002,0.8691588785046728,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
21,0.38,0.55,0.0,0.23831775700934577,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
22,0.09,0.95,0.8000000000000002,0.9719626168224299,0.25,0,0,1,0,0,0,0,0,0,1,0,0,1
23,0.46,0.57,0.0,0.2009345794392523,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
24,0.4,0.53,0.0,0.28971962616822433,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
25,0.89,0.92,0.6,0.6822429906542057,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
26,0.82,0.87,0.4,0.6682242990654205,0.375,0,0,1,0,0,0,0,0,0,1,0,0,1
27,0.4,0.49,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
28,0.41,0.46,0.0,0.14953271028037385,0.125,0,0,1,0,1,0,0,0,0,0,0,0,1
29,0.38,0.5,0.0,0.16822429906542058,0.125,0,0,1,0,1,0,0,0,0,0,0,0,1
30,0.09,0.62,0.8000000000000002,0.925233644859813,0.25,0,0,1,0,1,0,0,0,0,0,0,0,1
31,0.45,0.57,0.0,0.17757009345794394,0.125,0,0,1,0,0,1,0,0,0,0,0,0,1
32,0.4,0.51,0.0,0.2289719626168224,0.125,0,0,1,0,0,1,0,0,0,0,0,0,1
33,0.45,0.55,0.0,0.20560747663551404,0.125,0,0,1,0,0,1,0,0,0,0,0,0,1
34,0.84,0.87,0.4,0.7009345794392524,0.5,0,0,1,0,0,1,0,0,0,0,0,0,1
35,0.1,0.94,0.8000000000000002,0.7429906542056074,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
36,0.38,0.46,0.0,0.19158878504672894,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
37,0.45,0.5,0.0,0.14018691588785048,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
38,0.11,0.89,0.8000000000000002,0.9813084112149532,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
39,0.41,0.54,0.0,0.26168224299065423,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
40,0.87,0.88,0.6,0.8084112149532711,0.375,0,0,1,0,0,0,0,0,0,0,0,1,1
41,0.45,0.48,0.0,0.28971962616822433,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
42,0.4,0.46,0.0,0.14485981308411222,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
43,0.1,0.8,1.0,0.8644859813084113,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
44,0.09,0.89,0.8000000000000002,0.8411214953271028,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
45,0.84,0.74,0.20000000000000007,0.4018691588785047,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
46,0.4,0.55,0.0,0.23831775700934577,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
47,0.57,0.7,0.20000000000000007,0.8271028037383178,0.5,0,0,1,0,0,0,0,0,0,0,1,0,1
48,0.4,0.54,0.0,0.2429906542056075,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
49,0.43,0.47,0.0,0.23831775700934577,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
50,0.13,0.78,0.8000000000000002,0.26168224299065423,0.0,0,0,1,0,0,0,0,0,0,0,1,0,1
51,0.44,0.55,0.0,0.18224299065420557,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
52,0.38,0.55,0.0,0.17757009345794394,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
53,0.39,0.54,0.0,0.16822429906542058,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
54,0.1,0.92,1.0,0.9859813084112149,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
55,0.37,0.46,0.0,0.20560747663551404,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
56,0.11,0.94,1.0,0.7429906542056074,0.25,0,0,1,0,0,0,0,0,0,0,1,0,1
57,0.1,0.81,0.8000000000000002,0.9953271028037384,0.25,0,0,1,0,0,0,0,0,0,0,0,1,1
58,0.38,0.54,0.0,0.14953271028037385,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
59,0.85,1.0,0.4,0.602803738317757,0.375,0,0,1,0,0,0,0,0,0,0,0,1,1
60,0.85,0.91,0.6,0.6074766355140188,0.375,0,0,2,0,0,0,1,0,0,0,0,0,1
61,0.11,0.93,1.0,0.9906542056074766,0.25,0,0,2,0,0,0,0,0,0,0,0,0,1
62,0.1,0.95,0.8000000000000002,0.6915887850467289,0.375,0,0,2,0,0,0,0,0,0,0,0,0,1
63,0.36,0.56,0.0,0.16822429906542058,0.125,0,0,2,0,0,0,0,0,0,0,0,0,1
64,0.11,0.94,0.8000000000000002,0.8878504672897195,0.25,0,0,2,0,0,0,0,0,0,0,0,0,1
65,0.81,0.7,0.8000000000000002,0.3037383177570093,0.25,0,0,2,0,0,0,0,0,0,0,0,0,1
66,0.43,0.54,0.0,0.26635514018691586,0.125,0,0,2,0,0,0,0,0,1,0,0,0,1
67,0.9,0.98,0.4,0.7850467289719626,0.5,0,0,2,0,0,0,0,0,1,0,0,0,1
68,0.76,0.86,0.6,0.5934579439252335,0.375,1,0,2,0,0,0,0,0,1,0,0,0,1
69,0.43,0.5,0.0,0.18224299065420557,0.125,0,0,2,0,0,0,0,0,1,0,0,0,1
70,0.74,0.99,0.0,0.8457943925233645,0.125,0,0,2,0,0,0,0,0,0,0,0,0,1
71,0.09,0.77,0.6,0.836448598130841,0.25,0,0,2,0,0,0,0,0,1,0,0,0,1
72,0.45,0.49,0.0,0.24766355140186913,0.125,0,0,0,0,0,0,0,0,1,0,0,0,1
73,0.09,0.87,1.0,0.9299065420560747,0.25,0,0,1,0,0,0,0,0,1,0,0,0,1
74,0.11,0.97,0.8000000000000002,0.8457943925233645,0.25,0,0,2,0,0,0,0,0,1,0,0,0,1
75,0.11,0.79,1.0,0.9813084112149532,0.25,0,0,2,0,0,0,0,0,1,0,0,0,1
76,0.1,0.83,0.8000000000000002,0.9299065420560747,0.25,0,0,2,0,0,0,0,0,1,0,0,0,1
77,0.4,0.54,0.0,0.19158878504672894,0.125,0,0,2,0,0,0,0,1,0,0,0,0,1
78,0.43,0.56,0.0,0.2850467289719626,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
79,0.39,0.56,0.0,0.2149532710280374,0.125,0,0,1,0,1,0,0,0,0,0,0,0,1
80,0.45,0.54,0.0,0.20560747663551404,0.125,0,0,1,0,0,0,0,0,0,0,1,0,1
81,0.38,0.49,0.0,0.2570093457943925,0.125,0,0,1,0,0,0,0,0,0,0,0,1,1
82,0.79,0.59,0.4,0.2009345794392523,0.125,0,1,1,0,0,0,1,0,0,0,0,0,1
83,0.84,0.85,0.4,0.7149532710280374,0.5,0,0,1,0,0,0,0,1,0,0,0,0,1
84,0.11,0.77,0.8000000000000002,0.911214953271028,0.25,0,0,1,0,0,0,0,1,0,0,0,0,1
85,0.11,0.87,0.8000000000000002,0.9766355140186916,0.25,0,0,1,0,0,0,0,1,0,0,0,0,1
86,0.17,0.84,0.6,0.6355140186915887,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
87,0.44,0.45,0.0,0.16822429906542058,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
88,0.37,0.57,0.0,0.15887850467289721,0.125,0,0,1,0,0,0,0,0,0,1,0,0,1
