Id,Label
1,Schlegel
2,Albert Hager
3,Böger
4,Meier
5,Meinhold
6,Herold
7,Rettig
8,Meyer
9,Schneider
10,Köchel
11,Wolf
12,Ernst
13,Trampler
14,Vetter
15,Pfeil
16,Pröse
17,Holzmüller
18,Eisenreich
19,Pröhl
20,Reinh. Zimmermann
21,Schaller
22,Stolze
23,Schnabel
24,Schmidt
25,Fritzsche
26,Röhling
27,Rudolf
28,Hofmann
29,Kießling
30,Räubert
31,Haas
32,Bernhardt
33,Rausch
34,Bernh. Schubert
35,Flach
36,Groß
37,Kneisel
38,Seifert
39,Thrum
40,Hergert
41,Lasch
42,O. Müller
43,R. Müller
44,Pröse
45,Rich. Zimmermann
46,R. Schubert
47,Wilhelm
48,Neidhardt
49,Fährmann
50,Pippig
51,Golla
52,Ebersbach
53,Albin Hager
